Gss year for this respondent                       ,Respondent income in constant dollars,Family income in constant dollars,Those in need have to take care of themselves,R has given money to a charity,R done volunteer work for a charity,Others misfortunes do not disturb r,R feels protective towards people taken advantage,R does not feel very sorry for people having pro,R have tender feeling for people less fortunate,Highest year of school completed,Age of respondent,Marital status,Respondent id number,Ballot used for interview
2002,31618,31618,Agree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,14,25,Divorced,1,Ballot a
2002,80261,160197,Strongly agree,Once in the past year,Not at all in the past year,3,3,4,2,16,43,Married,2,Ballot c
2002,36482,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,30,Separated,3,Ballot a
2002,53507,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,55,Divorced,4,Ballot b
2002,43779,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,37,Divorced,5,Ballot c
2002,43779,97286,Agree,Once in the past year,Once in the past year,3,Describes very well,4,4,12,47,Divorced,6,Ballot a
2002,0,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,57,Married,7,Ballot a
2002,0,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,71,Married,8,Ballot c
2002,65668,65668,Agree,Once a month,Not at all in the past year,2,4,3,3,14,46,Divorced,9,Ballot c
2002,486,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,19,Never married,10,Ballot a
2002,53507,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,52,Married,11,Ballot b
2002,235707,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,48,Married,12,Ballot a
2002,97286,97286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,49,Married,13,Ballot b
2002,10945,20673,Disagree,At least 2 or 3 times in the past year,Once in the past year,4,Describes very well,4,Describes very well,12,71,Divorced,14,Ballot c
2002,0,3405,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,30,Married,15,Ballot a
2002,0,15809,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,35,Married,16,Ballot c
2002,0,486,Disagree,Not at all in the past year,Not at all in the past year,2,3,Does not describe very well,3,12,51,Divorced,17,Ballot a
2002,43779,43779,Agree,At least 2 or 3 times in the past year,Once in the past year,2,4,3,4,15,37,Never married,18,Ballot b
2002,80261,160197,Neither agree nor disagree,At least 2 or 3 times in the past year,Not at all in the past year,3,4,3,3,13,35,Divorced,19,Ballot c
2002,26754,26754,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,28,Never married,20,Ballot a
2002,26754,26754,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,34,Never married,21,Ballot c
2002,18241,36482,Agree,Not at all in the past year,Not at all in the past year,2,4,3,3,12,23,Separated,22,Ballot a
2002,53507,97286,Strongly agree,Once a month,Not at all in the past year,2,Describes very well,2,4,16,33,Married,23,Ballot b
2002,43779,97286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,46,Married,24,Ballot a
2002,43779,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,61,Married,25,Ballot b
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,81,Widowed,26,Ballot c
2002,0,26754,Disagree,Once a month,Not at all in the past year,Does not describe very well,Does not describe very well,Does not describe very well,4,14,69,Widowed,27,Ballot a
2002,26754,26754,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,36,Divorced,28,Ballot b
2002,1946,5351,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,23,Never married,29,Ballot a
2002,10945,20673,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,28,Never married,30,Ballot b
2002,65668,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,52,Divorced,31,Ballot c
2002,31618,43779,Neither agree nor disagree,Once in the past year,Once a month,3,4,2,4,16,57,Married,32,Ballot a
2002,53507,53507,Disagree,Once a week,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,16,42,Never married,33,Ballot b
2002,80261,80261,Agree,At least 2 or 3 times in the past year,Once a month,Does not describe very well,Describes very well,3,Describes very well,17,63,Never married,34,Ballot c
2002,4378,20673,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,55,Never married,35,Ballot c
2002,486,13377,Neither agree nor disagree,Once a month,Not at all in the past year,3,3,3,Does not describe very well,8,77,Widowed,36,Ballot a
2002,7296,23105,Neither agree nor disagree,Once in the past year,Not at all in the past year,Does not describe very well,Describes very well,2,4,14,26,Married,37,Ballot b
2002,65668,65668,Neither agree nor disagree,Not at all in the past year,At least 2 or 3 times in the past year,2,4,Does not describe very well,Describes very well,20,51,Never married,38,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,43,Divorced,39,Ballot a
2002,43779,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,56,Divorced,40,Ballot c
2002,0,53507,Neither agree nor disagree,More than once a week,More than once a week,Does not describe very well,Describes very well,2,Describes very well,16,76,Never married,41,Ballot a
2002,10945,10945,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,27,Separated,42,Ballot a
2002,31618,36482,Neither agree nor disagree,Once a month,Not at all in the past year,2,4,4,Describes very well,17,60,Divorced,43,Ballot b
2002,36482,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,31,Divorced,44,Ballot a
2002,7296,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,50,Married,45,Ballot c
2002,36482,43779,Agree,Not at all in the past year,Not at all in the past year,3,4,3,Describes very well,10,21,Never married,46,Ballot a
2002,486,36482,Agree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,3,4,9,20,Never married,47,Ballot b
2002,0,43779,Strongly agree,At least 2 or 3 times in the past year,Once in the past year,Does not describe very well,Describes very well,Describes very well,4,14,71,Married,48,Ballot c
2002,43779,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,48,Divorced,49,Ballot b
2002,0,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,21,Married,50,Ballot c
2002,0,43779,Neither agree nor disagree,Once a month,Not at all in the past year,Does not describe very well,Does not describe very well,Does not describe very well,Describes very well,12,66,Married,51,Ballot a
2002,0,65668,Neither agree nor disagree,More than once a week,Not at all in the past year,2,Describes very well,3,3,15,69,Married,52,Ballot b
